method; model; mean acc; med acc; mean cmp; med cmp
"s = 32,  \tau = 0:7, \gamma = 0%"; 9; 0.573930916; 0.284001954; 0.62742157; 0.202008127
"s = 32,  \tau = 0:7, \gamma = 0%"; 10; 0.449061934; 0.217436155; 1.535726732; 0.148904071
"s = 32,  \tau = 0:7, \gamma = 0%"; 11; 0.661375705; 0.216536885; 3.151570652; 0.254517263
"s = 32,  \tau = 0:7, \gamma = 0%"; 12; 0.549675278; 0.252605141; 0.856982; 0.174599375
"s = 32,  \tau = 0:7, \gamma = 0%"; 13; 0.425894134; 0.142553489; 4.004196346; 0.215570621
"s = 32,  \tau = 0:7, \gamma = 0%"; 15; 0.633317399; 0.282304786; 0.734500057; 0.195040119
"s = 32,  \tau = 0:7, \gamma = 0%"; 23; 0.621777508; 0.29480277; 0.623067117; 0.203040107
"s = 32,  \tau = 0:7, \gamma = 0%"; 24; 0.88160154; 0.219112758; 0.886063724; 0.165960769
"s = 32,  \tau = 0:7, \gamma = 0%"; 29; 1.019477146; 0.25791346; 1.466670655; 0
"s = 32,  \tau = 0:7, \gamma = 0%"; 32; 0.690098371; 0.298154976; 1.135981593; 0.159488481
"s = 32,  \tau = 0:7, \gamma = 0%"; 33; 0.770484786; 0.304935706; 0.761352298; 0
"s = 32,  \tau = 0:7, \gamma = 0%"; 34; 0.578876865; 0.318416071; 0.407265607; 0.17801121
"s = 32,  \tau = 0:7, \gamma = 0%"; 48; 2.613959892; 0.368245173; 1.358352987; 0.194166562
"s = 32,  \tau = 0:7, \gamma = 0%"; 49; 2.414397572; 0.282393402; 0.799222942; 0
"s = 32,  \tau = 0:7, \gamma = 0%"; 62; 2.148764434; 0.398688922; 1.447651303; 0.130398582
"s = 32,  \tau = 0:7, \gamma = 0%"; 75; 6.07635332; 0.378509331; 0.541259719; 0
"s = 32,  \tau = 0:7, \gamma = 0%"; 77; 6.448448045; 0.388787742; 0.094411415; 0
"s = 32,  \tau = 0:7, \gamma = 0%"; 110; 0.325077284; 0.133639707; 0.918822633; 0.15557014
"s = 32,  \tau = 0:7, \gamma = 0%"; 114; 0.308123481; 0.169151715; 0.57826568; 0.192011923
"s = 32,  \tau = 0:7, \gamma = 0%"; 118; 0.293895117; 0.145456076; 1.063605895; 0.191160441

"s = 32,  \tau = 0:7, \gamma = 80%"; 1; 0.252665611; 0.149820231; 3.025576971; 0.232845714
"s = 32,  \tau = 0:7, \gamma = 80%"; 4; 0.274926339; 0.164869179; 3.720164039; 0.255821716
"s = 32,  \tau = 0:7, \gamma = 80%"; 9; 0.447597834; 0.233843104; 0.706454161; 0.242279332
"s = 32,  \tau = 0:7, \gamma = 80%"; 10; 0.360151734; 0.19474672; 1.572930794; 0.165323196
"s = 32,  \tau = 0:7, \gamma = 80%"; 11; 0.484054135; 0.190375962; 3.247017596; 0.363154899
